[STAR]
cpr6dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N041.55.22.387 W106.32.35.029 N041.55.28.452 W106.34.21.400 RVM
                          N041.55.28.452 W106.34.21.400 N041.55.36.245 W106.36.07.572 RVM
                          N041.55.36.245 W106.36.07.572 N041.55.45.763 W106.37.53.496 RVM
                          N041.55.45.763 W106.37.53.496 N041.55.57.000 W106.39.39.123 RVM
                          N041.55.57.000 W106.39.39.123 N041.56.09.952 W106.41.24.402 RVM
                          N041.56.09.952 W106.41.24.402 N041.56.24.613 W106.43.09.285 RVM
                          N043.54.19.415 W106.41.51.930 N043.54.32.784 W106.40.03.329 RVM
                          N043.54.32.784 W106.40.03.329 N043.54.44.384 W106.38.14.333 RVM
                          N043.54.44.384 W106.38.14.333 N043.54.54.210 W106.36.24.999 RVM
                          N043.54.54.210 W106.36.24.999 N043.55.02.256 W106.34.35.383 RVM
                          N043.55.02.256 W106.34.35.383 N043.55.08.518 W106.32.45.540 RVM
                          N043.55.08.518 W106.32.45.540 N043.55.12.994 W106.30.55.527 RVM
                          N043.55.12.994 W106.30.55.527 N043.55.15.680 W106.29.05.402 RVM
                          N043.55.15.680 W106.29.05.402 N043.55.16.575 W106.27.15.220 RVM
                          N043.55.16.575 W106.27.15.220 N043.55.15.680 W106.25.25.037 RVM
                          N043.55.15.680 W106.25.25.037 N043.55.12.994 W106.23.34.912 RVM
                          N043.55.12.994 W106.23.34.912 N043.55.08.518 W106.21.44.899 RVM
                          N043.55.08.518 W106.21.44.899 N043.55.02.256 W106.19.55.056 RVM
                          N043.55.02.256 W106.19.55.056 N043.54.54.210 W106.18.05.440 RVM
                          N043.54.54.210 W106.18.05.440 N043.54.44.384 W106.16.16.106 RVM
                          N043.54.44.384 W106.16.16.106 N043.54.32.784 W106.14.27.110 RVM
                          N043.54.32.784 W106.14.27.110 N043.54.19.415 W106.12.38.509 RVM
                          N043.54.19.415 W106.12.38.509 N043.54.04.285 W106.10.50.358 RVM
                          N043.54.04.285 W106.10.50.358 N043.53.47.400 W106.09.02.713 RVM
                          N043.53.47.400 W106.09.02.713 N043.53.28.771 W106.07.15.628 RVM
                          N043.53.28.771 W106.07.15.628 N043.53.08.405 W106.05.29.159 RVM
                          N043.53.08.405 W106.05.29.159 N043.52.46.314 W106.03.43.360 RVM
                          N043.52.46.314 W106.03.43.360 N043.52.22.509 W106.01.58.285 RVM
                          N043.52.22.509 W106.01.58.285 N043.51.57.002 W106.00.13.988 RVM
                          N043.51.57.002 W106.00.13.988 N043.51.29.807 W105.58.30.522 RVM
                          N043.51.29.807 W105.58.30.522 N043.51.00.937 W105.56.47.939 RVM
                          N043.51.00.937 W105.56.47.939 N043.50.30.406 W105.55.06.292 RVM
                          N043.50.30.406 W105.55.06.292 N043.49.58.232 W105.53.25.632 RVM
                          N043.49.58.232 W105.53.25.632 N043.49.24.429 W105.51.46.010 RVM
                          N043.49.24.429 W105.51.46.010 N043.48.49.015 W105.50.07.478 RVM
                          N043.48.49.015 W105.50.07.478 N043.48.12.009 W105.48.30.084 RVM
