[STAR]
cpr7dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.54.12.075 W106.34.12.561 N042.54.12.179 W106.34.11.401 RVM
                          N042.54.12.179 W106.34.11.401 N042.54.11.876 W106.34.10.307 RVM
                          N042.54.11.876 W106.34.10.307 N042.54.11.233 W106.34.09.530 RVM
                          N042.54.11.233 W106.34.09.530 N042.54.10.399 W106.34.09.249 RVM
                          N042.54.10.399 W106.34.09.249 N042.54.10.399 W106.34.09.249 RVM
                          N042.54.09.440 W106.34.10.521 N042.54.08.780 W106.34.11.416 RVM
                          N042.54.10.100 W106.34.09.179 N042.54.09.440 W106.34.10.521 RVM
                          N042.54.09.769 W106.34.10.970 N042.54.08.779 W106.34.12.312 RVM
                          N042.54.10.758 W106.34.09.180 N042.54.09.769 W106.34.10.970 RVM
                          N042.54.10.098 W106.34.11.419 N042.54.08.779 W106.34.12.760 RVM
                          N042.54.11.417 W106.34.09.629 N042.54.10.098 W106.34.11.419 RVM
                          N042.54.10.426 W106.34.11.867 N042.54.09.107 W106.34.13.657 RVM
                          N042.54.11.746 W106.34.10.078 N042.54.10.426 W106.34.11.867 RVM
                          N042.54.10.755 W106.34.12.316 N042.54.09.437 W106.34.13.657 RVM
                          N042.54.12.075 W106.34.10.526 N042.54.10.755 W106.34.12.316 RVM
                          N042.54.11.084 W106.34.12.765 N042.54.10.095 W106.34.14.107 RVM
                          N042.54.12.074 W106.34.10.974 N042.54.11.084 W106.34.12.765 RVM
                          N042.54.11.413 W106.34.13.213 N042.54.10.753 W106.34.14.108 RVM
                          N042.54.12.073 W106.34.12.318 N042.54.11.413 W106.34.13.213 RVM
                          N042.49.46.784 W106.33.55.290 N042.49.45.949 W106.33.55.568 RVM
                          N042.49.45.949 W106.33.55.568 N042.49.45.305 W106.33.56.341 RVM
                          N042.49.45.305 W106.33.56.341 N042.49.44.999 W106.33.57.433 RVM
                          N042.49.44.999 W106.33.57.433 N042.49.45.101 W106.33.58.592 RVM
                          N042.49.45.101 W106.33.58.592 N042.49.45.589 W106.33.59.554 RVM
                          N042.49.45.589 W106.33.59.554 N042.49.46.349 W106.34.00.098 RVM
                          N042.49.46.349 W106.34.00.098 N042.49.47.209 W106.34.00.100 RVM
                          N042.49.47.209 W106.34.00.100 N042.49.47.971 W106.33.59.558 RVM
                          N042.49.47.971 W106.33.59.558 N042.49.48.460 W106.33.58.598 RVM
                          N042.49.48.460 W106.33.58.598 N042.49.48.565 W106.33.57.439 RVM
                          N042.49.48.565 W106.33.57.439 N042.49.48.261 W106.33.56.347 RVM
                          N042.49.48.261 W106.33.56.347 N042.49.47.618 W106.33.55.571 RVM
                          N042.49.47.618 W106.33.55.571 N042.49.46.784 W106.33.55.290 RVM
                          N042.49.46.784 W106.33.55.290 N042.49.46.784 W106.33.55.290 RVM
                          N042.49.45.638 W106.33.56.157 N042.49.44.978 W106.33.57.499 RVM
                          N042.49.46.627 W106.33.55.264 N042.49.45.638 W106.33.56.157 RVM
                          N042.49.45.966 W106.33.57.053 N042.49.44.977 W106.33.58.394 RVM
