[STAR]
cpr9dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.59.10.527 W106.42.48.847 N042.59.13.413 W106.42.51.545 RVM
                          N042.59.13.413 W106.42.51.545 N042.59.16.755 W106.42.52.964 RVM
                          N042.59.16.755 W106.42.52.964 N042.59.20.255 W106.42.52.979 RVM
                          N042.59.20.255 W106.42.52.979 N042.59.23.603 W106.42.51.588 RVM
                          N042.59.23.603 W106.42.51.588 N042.59.26.501 W106.42.48.914 RVM
                          N042.59.26.501 W106.42.48.914 N042.59.28.691 W106.42.45.195 RVM
                          N042.59.28.691 W106.42.45.195 N042.59.29.980 W106.42.40.762 RVM
                          N042.59.29.980 W106.42.40.762 N042.59.30.252 W106.42.36.009 RVM
                          N042.59.30.252 W106.42.36.009 N042.59.29.484 W106.42.31.357 RVM
                          N042.59.29.484 W106.42.31.357 N042.59.27.743 W106.42.27.221 RVM
                          N042.59.27.743 W106.42.27.221 N042.59.25.184 W106.42.23.967 RVM
                          N042.59.25.184 W106.42.23.967 N042.59.22.035 W106.42.21.886 RVM
                          N042.59.22.035 W106.42.21.886 N042.59.18.576 W106.42.21.161 RVM
                          N042.59.18.576 W106.42.21.161 N042.59.18.576 W106.42.21.161 RVM
                          N042.59.12.500 W106.42.01.024 N042.59.12.908 W106.42.10.577 RVM
                          N042.59.12.908 W106.42.10.577 N042.59.11.582 W106.42.19.975 RVM
                          N042.59.11.582 W106.42.19.975 N042.59.08.605 W106.42.28.642 RVM
                          N042.59.08.605 W106.42.28.642 N042.59.04.158 W106.42.36.050 RVM
                          N042.59.04.158 W106.42.36.050 N042.58.58.513 W106.42.41.745 RVM
                          N042.58.58.513 W106.42.41.745 N042.58.52.014 W106.42.45.380 RVM
                          N042.58.52.014 W106.42.45.380 N042.58.52.014 W106.42.45.380 RVM
                          N042.58.52.014 W106.42.45.380 N042.58.59.028 W106.42.44.826 RVM
                          N042.58.59.028 W106.42.44.826 N042.59.05.927 W106.42.46.632 RVM
                          N042.59.05.927 W106.42.46.632 N042.59.12.290 W106.42.50.688 RVM
                          N042.59.12.290 W106.42.50.688 N042.59.17.728 W106.42.56.746 RVM
                          N042.59.17.728 W106.42.56.746 N042.59.21.909 W106.43.04.436 RVM
                          N042.59.21.909 W106.43.04.436 N042.59.24.578 W106.43.13.289 RVM
                          N042.59.45.066 W106.42.28.929 N042.59.38.568 W106.42.32.565 RVM
                          N042.59.38.568 W106.42.32.565 N042.59.32.923 W106.42.38.261 RVM
                          N042.59.32.923 W106.42.38.261 N042.59.28.475 W106.42.45.670 RVM
                          N042.59.28.475 W106.42.45.670 N042.59.25.498 W106.42.54.337 RVM
                          N042.59.25.498 W106.42.54.337 N042.59.24.171 W106.43.03.735 RVM
                          N042.59.24.171 W106.43.03.735 N042.59.24.578 W106.43.13.289 RVM
                          N042.59.45.066 W106.42.28.929 N042.59.38.053 W106.42.29.483 RVM
                          N042.59.38.053 W106.42.29.483 N042.59.31.154 W106.42.27.678 RVM
                          N042.59.31.154 W106.42.27.678 N042.59.24.790 W106.42.23.622 RVM
                          N042.59.24.790 W106.42.23.622 N042.59.19.352 W106.42.17.565 RVM
